Rank,Title,Year,Runtime,IMDb Rating,Votes,Votes_Numeric,URL
1,Dune: Part Two,2024,20242h 46m,8.5,663K,663000,https://www.imdb.com/title/tt15239678/?ref_=sr_t_1
2,Deadpool & Wolverine,2024,20242h 8m,7.5,525K,525000,https://www.imdb.com/title/tt6263850/?ref_=sr_t_2
3,The Substance,2024,20242h 21m,7.2,336K,336000,https://www.imdb.com/title/tt17526714/?ref_=sr_t_3
4,Furiosa: A Mad Max Saga,2024,20242h 28m,7.5,300K,300000,https://www.imdb.com/title/tt12037194/?ref_=sr_t_4
5,Gladiator II,2024,20242h 28m,6.5,272K,272000,https://www.imdb.com/title/tt9218128/?ref_=sr_t_5
6,Alien: Romulus,2024,20241h 59m,7.1,265K,265000,https://www.imdb.com/title/tt18412256/?ref_=sr_t_6
7,Civil War,2024,20241h 49m,7.0,250K,250000,https://www.imdb.com/title/tt17279496/?ref_=sr_t_7
8,The Fall Guy,2024,20242h 6m,6.8,234K,234000,https://www.imdb.com/title/tt1684562/?ref_=sr_t_8
9,Nosferatu,2024,20242h 12m,7.2,231K,231000,https://www.imdb.com/title/tt5040012/?ref_=sr_t_9
10,Inside Out 2,2024,20241h 36m,7.5,230K,230000,https://www.imdb.com/title/tt22022452/?ref_=sr_t_10
11,Anora,2024,20242h 19m,7.4,223K,223000,https://www.imdb.com/title/tt28607951/?ref_=sr_t_11
12,Conclave,2024,20242h,7.4,218K,218000,https://www.imdb.com/title/tt20215234/?ref_=sr_t_12
13,Longlegs,2024,20241h 41m,6.6,203K,203000,https://www.imdb.com/title/tt23468450/?ref_=sr_t_13
14,The Wild Robot,2024,20241h 42m,8.2,195K,195000,https://www.imdb.com/title/tt29623480/?ref_=sr_t_14
15,Heretic,2024,20241h 51m,7.0,185K,185000,https://www.imdb.com/title/tt28015403/?ref_=sr_t_15
16,Twisters,2024,20242h 2m,6.5,183K,183000,https://www.imdb.com/title/tt12584954/?ref_=sr_t_16
17,Wicked,2024,20242h 40m,7.4,182K,182000,https://www.imdb.com/title/tt1262426/?ref_=sr_t_17
18,Carry-On,2024,20241h 59m,6.5,179K,179000,https://www.imdb.com/title/tt21382296/?ref_=sr_t_18
19,Road House,2024,20242h 1m,6.2,174K,174000,https://www.imdb.com/title/tt3359350/?ref_=sr_t_19
20,Joker: Folie à Deux,2024,20242h 18m,5.2,171K,171000,https://www.imdb.com/title/tt11315808/?ref_=sr_t_20
21,The Beekeeper,2024,20241h 45m,6.3,168K,168000,https://www.imdb.com/title/tt15314262/?ref_=sr_t_21
22,Challengers,2024,20242h 11m,7.0,164K,164000,https://www.imdb.com/title/tt16426418/?ref_=sr_t_22
23,Beetlejuice Beetlejuice,2024,20241h 45m,6.6,160K,160000,https://www.imdb.com/title/tt2049403/?ref_=sr_t_23
24,A Quiet Place: Day One,2024,20241h 39m,6.3,160K,160000,https://www.imdb.com/title/tt13433802/?ref_=sr_t_24
25,Kingdom of the Planet of the Apes,2024,20242h 25m,6.8,160K,160000,https://www.imdb.com/title/tt11389872/?ref_=sr_t_25
26,Trap,2024,20241h 45m,5.8,150K,150000,https://www.imdb.com/title/tt26753003/?ref_=sr_t_26
27,Red One,2024,20242h 3m,6.3,145K,145000,https://www.imdb.com/title/tt14948432/?ref_=sr_t_27
28,The Ministry of Ungentlemanly Warfare,2024,20242h 2m,6.8,145K,145000,https://www.imdb.com/title/tt5177120/?ref_=sr_t_28
29,Venom: The Last Dance,2024,20241h 50m,6.0,139K,139000,https://www.imdb.com/title/tt16366836/?ref_=sr_t_29
30,Godzilla x Kong: The New Empire,2024,20241h 55m,6.0,127K,127000,https://www.imdb.com/title/tt14539740/?ref_=sr_t_30
31,Smile 2,2024,20242h 7m,6.7,123K,123000,https://www.imdb.com/title/tt29268110/?ref_=sr_t_31
32,I'm Still Here,2024,20242h 17m,8.2,119K,119000,https://www.imdb.com/title/tt14961016/?ref_=sr_t_32
33,Speak No Evil,2024,20241h 50m,6.8,118K,118000,https://www.imdb.com/title/tt27534307/?ref_=sr_t_33
34,Blink Twice,2024,20241h 42m,6.5,117K,117000,https://www.imdb.com/title/tt14858658/?ref_=sr_t_34
35,Moana 2,2024,20241h 40m,6.5,116K,116000,https://www.imdb.com/title/tt13622970/?ref_=sr_t_35
36,Damsel,2024,20241h 50m,6.1,113K,113000,https://www.imdb.com/title/tt13452446/?ref_=sr_t_36
37,A Real Pain,2024,20241h 30m,7.1,113K,113000,https://www.imdb.com/title/tt21823606/?ref_=sr_t_37
38,Juror #2,2024,20241h 54m,7.0,113K,113000,https://www.imdb.com/title/tt27403986/?ref_=sr_t_38
39,Madame Web,2024,20241h 56m,4.1,106K,106000,https://www.imdb.com/title/tt11057302/?ref_=sr_t_39
40,Bad Boys: Ride or Die,2024,20241h 55m,6.5,106K,106000,https://www.imdb.com/title/tt4919268/?ref_=sr_t_40
41,Abigail,2024,20241h 49m,6.5,104K,104000,https://www.imdb.com/title/tt27489557/?ref_=sr_t_41
42,A Complete Unknown,2024,20242h 21m,7.3,102K,102000,https://www.imdb.com/title/tt11563598/?ref_=sr_t_42
43,The Brutalist,2024,20243h 36m,7.3,101K,101000,https://www.imdb.com/title/tt8999762/?ref_=sr_t_43
44,Ghostbusters: Frozen Empire,2024,20241h 55m,6.1,98K,98000,https://www.imdb.com/title/tt21235248/?ref_=sr_t_44
45,Argylle,2024,20242h 19m,5.6,96K,96000,https://www.imdb.com/title/tt15009428/?ref_=sr_t_45
46,Monkey Man,2024,20242h 1m,6.8,96K,96000,https://www.imdb.com/title/tt9214772/?ref_=sr_t_46
47,Rebel Ridge,2024,20242h 11m,6.8,95K,95000,https://www.imdb.com/title/tt11301886/?ref_=sr_t_47
48,Emilia Pérez,2024,20242h 12m,5.4,93K,93000,https://www.imdb.com/title/tt20221436/?ref_=sr_t_48
49,Flow,2024,20241h 25m,7.9,93K,93000,https://www.imdb.com/title/tt4772188/?ref_=sr_t_49
50,Wolfs,2024,20241h 48m,6.5,93K,93000,https://www.imdb.com/title/tt14257582/?ref_=sr_t_50
51,It Ends with Us,2024,20242h 10m,6.3,92K,92000,https://www.imdb.com/title/tt10655524/?ref_=sr_t_51
52,Beverly Hills Cop: Axel F,2024,20241h 58m,6.4,84K,84000,https://www.imdb.com/title/tt3083016/?ref_=sr_t_52
53,Bhool Bhulaiyaa 3,2024,20242h 38m,4.6,78K,78000,https://www.imdb.com/title/tt26932223/?ref_=sr_t_53
54,The Idea of You,2024,20241h 55m,6.3,77K,77000,https://www.imdb.com/title/tt9466114/?ref_=sr_t_54
55,MaXXXine,2024,20241h 43m,6.2,77K,77000,https://www.imdb.com/title/tt22048412/?ref_=sr_t_55
56,Singham Again,2024,20242h 24m,4.3,76K,76000,https://www.imdb.com/title/tt11976134/?ref_=sr_t_56
57,Mufasa: The Lion King,2024,20241h 58m,6.6,75K,75000,https://www.imdb.com/title/tt13186482/?ref_=sr_t_57
